source,author,title,description,url,urlToImage,publishedAt,content
"{'id': 'newsweek', 'name': 'Newsweek'}",Tom Howarth,World's First Nuclear Fusion Power Plant Being Built in Virginia,"A company aims to bring a nuclear fusion plant online in the early 2030s, but the path to this breakthrough is anything but easy.",https://www.newsweek.com/nuclear-fusion-power-plant-virginia-mit-world-first-cfs-2003430,https://d.newsweek.com/en/full/2547887/nuclear-fusion-reactor-tokamak.jpg,2024-12-19T12:54:25Z,"What's New
Commonwealth Fusion Systems (CFS), a spinout from Massachusetts Institute of Technology, announced plans on Tuesday to build the world's first grid-scale commercial nuclear fusion power p… [+6160 chars]"
"{'id': None, 'name': 'Interesting Engineering'}",Aman Tripathi,US scientist proposes ‘tungsten shotgun’ to enhance fusion reactor stability,"Scientists at Los Alamos National Laboratory have developed a ""tungsten shotgun"" to neutralize runaway electrons in fusion reactors.",https://interestingengineering.com/energy/tungsten-shotgun-for-fusion-reactor-stability,https://media.zenfs.com/en/interesting_engineering_646/5fca2d9dbd77c655ebab47698aade06d,2024-12-29T11:42:59Z,"Yahoo is using AI to generate takeaways from this article. This means the info may not always match what's in the article. Reporting mistakes helps us improve the experience.Generate Key Takeaways
R… [+3359 chars]"
"{'id': None, 'name': 'OilPrice.com'}",OilPrice.com,Fusion Energy Breakthrough: Virginia to Host Landmark Power Plant,"Nuclear adoption continues accelerating, and now Virginia sure thinks it has found the way to ""clean energy, billions in investment, and a solution to surging power demand"". The state is going to host the world's first fusion power plant, according to the Vir…",https://oilprice.com/Alternative-Energy/Nuclear-Power/Fusion-Energy-Breakthrough-Virginia-to-Host-Landmark-Power-Plant.html,https://d32r1sh890xpii.cloudfront.net/article/718x300/2024-12-20_ndbuxsipxh.jpg,2024-12-21T18:00:00Z,"Small Modular Reactors (SMRs) are…
Japan's restart of the Shimane…
However, nuclear energy stocks have…
By ZeroHedge - Dec 21, 2024, 12:00 PM CSTNuclear adoption continues accelerating, and now Vi… [+3044 chars]"
"{'id': None, 'name': 'GoNintendo'}",rawmeatcowboy,Black/White Kyurem to make Pokémon GO debuts during Pokemon GO Tour: Unova,A black-and-white decision,https://gonintendo.com/contents/44345-black-white-kyurem-to-make-pokemon-go-debuts-during-pokemon-go-tour-unova,https://gonintendo.com/attachments/image/59531/file/medium-c653f578dcb82f466ede6188ca58aa7f.png,2025-01-08T18:08:00Z,Niantic has revealed that Black Kyurem and White Kyurem will be coming to Pokémon GO for the first time as part of Pokémon GO Tour: Unova. Trainers attending the events in Los Angeles and New Taipei … [+878 chars]
"{'id': None, 'name': 'Freerepublic.com'}",CNBC TV,Powering up Virginia: World's first grid-scale commercial fusion power plant,"Bob Mumgaard, Commonwealth Fusion Systems CEO and Virginia Governor Glenn Youngkin join 'Squawk Box' to discuss a multi-billion dollar investment for the world's first grid-scale commercial fusion power plant in Virginia, what fusion energy is, and more. For …",https://freerepublic.com/focus/f-news/4285927/posts,,2024-12-22T17:20:29Z,"Skip to comments.
Powering up Virginia: World's first grid-scale commercial fusion power plantCNBC TV ^
 | 12/18/2022
 | CNBCTV
Posted on 12/22/2024 9:20:29 AM PST by MagillaX
Bob Mumgaard, Comm… [+1104 chars]"
"{'id': None, 'name': 'GlobeNewswire'}",Canadian Nuclear Laboratories,"Canadian Nuclear Laboratories and Karlsruhe Institute of Technology to Collaborate on Fusion, Materials and Hydrogen Science & Technology","CHALK RIVER, Ontario, Dec. 20, 2024 (GLOBE NEWSWIRE) -- Canadian Nuclear Laboratories (CNL), Canada’s premier nuclear science and technology organization, is pleased to announce that it has signed an agreement with the Karlsruhe Institute of Technology (KIT),…",https://www.globenewswire.com/news-release/2024/12/20/3000738/0/en/Canadian-Nuclear-Laboratories-and-Karlsruhe-Institute-of-Technology-to-Collaborate-on-Fusion-Materials-and-Hydrogen-Science-Technology.html,https://ml.globenewswire.com/Resource/Download/19a82339-5946-4682-ac30-8d73f3cc6e72,2024-12-20T16:30:00Z,"CHALK RIVER, Ontario, Dec. 20, 2024 (GLOBE NEWSWIRE) -- Canadian Nuclear Laboratories (CNL), Canadas premier nuclear science and technology organization, is pleased to announce that it has signed an … [+6792 chars]"
"{'id': None, 'name': 'Thairath.co.th'}",Thairath,มนุษย์ตั้งแต่ พ.ศ.2568 เป็นต้นไป,ควอนตัมฟิสิกส์จะเปลี่ยนแปลงโลก ทั้งด้านเทคโนโลยี การแพทย์ พลังงาน ตลอดจนความเข้าใจในวิศวจักรวาล คอมพิวเตอร์ควอนตัมสามารถประมวลผลปัญหาที่ซับซ้อนเกินกว่าคอมพิวเตอร์ทั่วไป ไม่ว่าจะเป็นการจำลองโมเลกุล การเข้ารหัสข้อมูล รวมทั้งการเพิ่มประสิทธิภาพในกระบวนการอุตสาหก…,https://www.thairath.co.th/news/foreign/2833823,https://static.thairath.co.th/media/dFQROr7oWzulq5Fa6rMjLYrMgjoIEu14toeMqCjJvKGi0pG0S4EClgX9FZ11VcMsrtG.jpg,2024-12-31T22:00:00Z,"2. 
3. 
4. MRI PET 
5. 
6. Quantum Entanglement 
7. 
8. Theory of Everthing 
9. 
10. 21 100 CRISPR 
11. 122 120 150 
12. Aging Reversal Biological Age 
13. mRNA () ..2568 mRNA 
14. ..2568… [+126 chars]"
"{'id': None, 'name': 'The Conversation Africa'}","Valerie Thomas, Professor of Industrial Engineering, Georgia Institute of Technology, Margaret E. Kosal, Associate Professor of International Affairs, Georgia Institute of Technology",From watts to warheads: Secretary of energy oversees big science research and the US nuclear arsenal,"The Energy Department has a dual mission with a heavy science focus and manages large, expensive programs, many of which are behind schedule and over budget.",https://theconversation.com/from-watts-to-warheads-secretary-of-energy-oversees-big-science-research-and-the-us-nuclear-arsenal-245993,https://images.theconversation.com/files/641759/original/file-20250110-15-d9snhi.jpeg?ixlib=rb-4.1.0&rect=0%2C977%2C6038%2C3014&q=45&auto=format&w=1356&h=668&fit=crop,2025-01-12T13:33:53Z,"The Energy Department recently finished modernizing the B61-12 nuclear bomb, extending its service life by at least 20 years. Devan Halstead, U.S. Air Force
The U.S. Department of Energy was created… [+9687 chars]"
"{'id': None, 'name': 'Freerepublic.com'}",The Cool Down,Scientists develop 'sustainable shield' tech on quest to harness limitless energy source: '[It] could play a vital role in the future',"This breakthrough could revolutionize the future of clean energy. Researchers in Japan made a groundbreaking discovery that could bring us closer to sustainable energy from nuclear fusion reactors, paving the way for longer-lasting, more efficient clean energ…",https://freerepublic.com/focus/f-chat/4287885/posts,,2025-01-03T15:52:47Z,"Skip to comments.
Scientists develop 'sustainable shield' tech on quest to harness limitless energy source: '[It] could play a vital role in the future'The Cool Down ^
 | January 03, 2025
 | Aaron… [+5853 chars]"
"{'id': None, 'name': 'Lesswrong.com'}",xpostah,World models I'm currently building,"Published on December 30, 2024 8:26 AM GMT2024-12-26 This doc is a mix of existing world models I have and holes in said models. I'm trying to fill some of these holes. The doc is not very well organised relative to how organised a doc I could produce if need…",https://www.lesswrong.com/posts/9fcawZGe4QJCRin7k/world-models-i-m-currently-building-1,https://res.cloudinary.com/lesswrong-2-0/image/upload/v1654295382/new_mississippi_river_fjdmww.jpg,2024-12-30T08:26:17Z,"2024-12-26
This doc is a mix of existing world models I have and holes in said models. I'm trying to fill some of these holes. The doc is not very well organised relative to how organised a doc I co… [+30498 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",lmaidan@businessinsider.com (Laila Maidan),Investing legend Jeremy Grantham braces for 'cataclysmic declines' in stocks and shares a strategy for 'bonanza payoffs',"Investors should seek investments in these key areas including fertility and green tech, Grantham said.",https://www.businessinsider.com/jeremy-grantham-investing-strategy-bonanza-payoffs-stock-market-crash-2025-1,https://i.insider.com/677d724bf83fcec7e5b4df1b?width=849&format=jpeg,2025-01-08T17:23:54Z,"While veteran investor Jeremy Grantham hasn't been running a portfolio for 15 years, he still monitors major themes that he thinks are important long-term and yet underrated. It's a task, he says, th… [+4818 chars]"
